request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,15000.63,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Pay ZAR 61446 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available."
request_60,199.3,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,58551.77,affordable_with_plan,partial_payment,2026-07-07:58551.77|2026-09-15:285348.23,2026-09-15,none,Pay INR 58551.77 today and the remaining INR 285348.23 on 2026-09-15. This completes the full request and keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 63700 within 90 days. Paying more than INR 0 today would take the balance below the INR 36100 minimum.
request_65,8359.38,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 54340 within 90 days. Paying more than ZAR 8359.38 today would take the balance below the ZAR 15500 minimum.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,578.52,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Pay USD 2094 in full on 2024-10-15. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1621.82,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Pay INR 243900 in full on 2025-01-15. Paying earlier would take the balance below the INR 115000 minimum.
request_71,2568004.78,affordable_later,wait,2025-07-15:21451000,2025-07-15,none,Pay IDR 21451000 in full on 2025-07-15. Paying earlier would take the balance below the IDR 8884800 minimum.
request_72,0,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 11330 within 90 days. Paying more than ZAR 0 today would take the balance below the ZAR 12200 minimum.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available."
request_76,1083.03,not_affordable,not_recommended,none,,none,Cannot safely afford USD 4455.6 within 90 days. Paying more than USD 1083.03 today would take the balance below the USD 1800 minimum.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days.
request_79,856.13,not_affordable,not_recommended,none,2024-11-15,none,Cannot safely afford EUR 2151.6 within 90 days. Paying more than EUR 856.13 today would take the balance below the EUR 1000 minimum.
request_80,125410,not_affordable,not_recommended,none,,none,Cannot safely afford INR 217500 within 90 days. Paying more than INR 125410 today would take the balance below the INR 121300 minimum.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,341.08,not_affordable,not_recommended,none,,none,Cannot safely afford USD 1405.2 within 90 days. Paying more than USD 341.08 today would take the balance below the USD 1100 minimum.
request_83,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 156200 within 90 days. Paying more than INR 0 today would take the balance below the INR 37800 minimum.
request_84,38708.45,affordable_later,wait,2026-04-15:95400,2026-04-15,none,Pay INR 95400 in full on 2026-04-15. Paying earlier would take the balance below the INR 91300 minimum.
request_85,1685786.12,not_affordable,not_recommended,none,,none,Cannot safely afford IDR 19304000 within 90 days. Paying more than IDR 1685786.12 today would take the balance below the IDR 6396300 minimum.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 487900 within 90 days. Paying more than INR 0 today would take the balance below the INR 185900 minimum.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available."
request_89,10856737.56,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,723.64,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,Pay EUR 1927.2 in full on 2024-10-15. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,35779.27,not_affordable,not_recommended,none,,none,Cannot safely afford INR 553000 within 90 days. Paying more than INR 35779.27 today would take the balance below the INR 145500 minimum.
request_96,81155.77,not_affordable,not_recommended,none,,none,Cannot safely afford INR 90200 within 90 days. Paying more than INR 81155.77 today would take the balance below the INR 56500 minimum.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,11833.33,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Pay ZAR 27148 in full on 2025-08-15. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
request_100,29490.98,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,19956.66,not_affordable,not_recommended,none,,none,Cannot safely afford INR 368300 within 90 days. Paying more than INR 19956.66 today would take the balance below the INR 125500 minimum.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,538.44,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,Pay EUR 2207.7 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,0,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 2534.4 within 90 days. Paying more than EUR 0 today would take the balance below the EUR 1600 minimum.
request_108,4690.55,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 55308 within 90 days. Paying more than ZAR 4690.55 today would take the balance below the ZAR 24100 minimum.
request_109,881.62,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,0,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 271.7 within 90 days. Paying more than EUR 0 today would take the balance below the EUR 500 minimum.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. This leaves at least INR 82300 available over the next 90 days.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days.
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,Pay INR 80500 in full on 2024-10-15. Paying earlier would take the balance below the INR 38800 minimum.
request_116,26598.79,not_affordable,not_recommended,none,2025-04-15,none,Cannot safely afford INR 241200 within 90 days. Paying more than INR 26598.79 today would take the balance below the INR 80300 minimum.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,474.29,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 738.1 within 90 days. Paying more than EUR 474.29 today would take the balance below the EUR 600 minimum.
request_119,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 203500 within 90 days. Paying more than INR 0 today would take the balance below the INR 151200 minimum.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1476.92,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves at least ZAR 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,0,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 23980 within 90 days. Paying more than ZAR 0 today would take the balance below the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,146.56,not_affordable,not_recommended,none,,none,Cannot safely afford USD 2668.8 within 90 days. Paying more than USD 146.56 today would take the balance below the USD 800 minimum.
request_130,690.54,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,Pay USD 1978.8 in full on 2025-01-15. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1319.97,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This leaves at least USD 1100 available over the next 90 days.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,Cannot safely afford IDR 15770000 within 90 days. Paying more than IDR 15770000 today would take the balance below the IDR 9986200 minimum.
request_134,7210010.38,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,Pay IDR 21831000 in full on 2025-09-15. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100 available over the next 90 days.
request_137,35996.94,affordable_later,wait,2025-12-15:80100,2025-12-15,none,Pay INR 80100 in full on 2025-12-15. Paying earlier would take the balance below the INR 71800 minimum.
request_138,1117.9,affordable_with_plan,partial_payment,2026-04-07:1117.90|2026-04-15:139.04,2026-04-15,none,Pay EUR 1117.9 today and the remaining EUR 139.04 on 2026-04-15. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,2014.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available."
request_140,0,not_affordable,not_recommended,none,,none,Cannot safely afford ZAR 62832 within 90 days. Paying more than ZAR 0 today would take the balance below the ZAR 21600 minimum.
request_141,31906.26,not_affordable,not_recommended,none,2026-03-15,none,Cannot safely afford INR 171600 within 90 days. Paying more than INR 31906.26 today would take the balance below the INR 67300 minimum.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700 available over the next 90 days.
request_143,4455.58,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Pay ZAR 12584 in full on 2025-06-15. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,0,not_affordable,not_recommended,none,,none,Cannot safely afford USD 233.34 within 90 days. Paying more than USD 0 today would take the balance below the USD 600 minimum.
request_145,40700.76,not_affordable,not_recommended,none,,none,Cannot safely afford INR 217400 within 90 days. Paying more than INR 40700.76 today would take the balance below the INR 155400 minimum.
request_146,22860.85,not_affordable,not_recommended,none,,none,Cannot safely afford INR 449400 within 90 days. Paying more than INR 22860.85 today would take the balance below the INR 108600 minimum.
request_147,0,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 1129.7 within 90 days. Paying more than EUR 0 today would take the balance below the EUR 900 minimum.
request_148,10456.18,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20000 available."
request_149,27578.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100 available."
request_150,372.51,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available."
request_153,258.6,not_affordable,not_recommended,none,,none,Cannot safely afford USD 2830.8 within 90 days. Paying more than USD 258.6 today would take the balance below the USD 1400 minimum.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available."
request_155,66491.33,not_affordable,not_recommended,none,,none,Cannot safely afford INR 112500 within 90 days. Paying more than INR 66491.33 today would take the balance below the INR 56300 minimum.
request_156,10652.82,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Pay ZAR 43076 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,7651377.17,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,Pay IDR 23503000 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This leaves at least ZAR 8700 available over the next 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Cannot safely afford IDR 21204000 within 90 days. Paying more than IDR 0 today would take the balance below the IDR 23010400 minimum.
request_162,4388137.84,not_affordable,not_recommended,none,,none,Cannot safely afford IDR 83923000 within 90 days. Paying more than IDR 4388137.84 today would take the balance below the IDR 24161100 minimum.
request_163,10954661.43,not_affordable,not_recommended,none,,none,Cannot safely afford IDR 19304000 within 90 days. Paying more than IDR 10954661.43 today would take the balance below the IDR 26728700 minimum.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,43454.63,affordable_with_plan,partial_payment,2026-01-07:43454.63|2026-01-15:5925.37,2026-01-15,none,Pay INR 43454.63 today and the remaining INR 5925.37 on 2026-01-15. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,34275921.57,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800 available."
request_171,106.11,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 1878.8 within 90 days. Paying more than EUR 106.11 today would take the balance below the EUR 500 minimum.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This leaves at least ZAR 27200 available."
request_173,74343.33,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,458.92,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 1239.7 within 90 days. Paying more than EUR 458.92 today would take the balance below the EUR 600 minimum.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available."
request_179,14385647.03,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Pay IDR 41648000 in full on 2025-06-15. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,0,not_affordable,not_recommended,none,,none,Cannot safely afford INR 66500 within 90 days. Paying more than INR 0 today would take the balance below the INR 37300 minimum.
request_181,550.26,affordable_later,wait,2024-05-15:5059.20,2024-05-15,none,Pay USD 5059.2 in full on 2024-05-15. Paying earlier would take the balance below the USD 2000 minimum.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,25499437.33,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300 available."
request_184,21348.09,not_affordable,not_recommended,none,,none,Cannot safely afford INR 251900 within 90 days. Paying more than INR 21348.09 today would take the balance below the INR 110800 minimum.
request_185,583.02,affordable_later,wait,2025-11-15:1257.30,2025-11-15,none,Pay EUR 1257.3 in full on 2025-11-15. Paying earlier would take the balance below the EUR 1300 minimum.
request_186,16344.84,affordable_later,wait,2026-01-15:26554,2026-01-15,none,Pay ZAR 26554 in full on 2026-01-15. Paying earlier would take the balance below the ZAR 22000 minimum.
request_187,44872.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Pay INR 187500 in full on 2024-10-15. Paying earlier would take the balance below the INR 128300 minimum.
request_188,318.3,not_affordable,not_recommended,none,,none,Cannot safely afford EUR 2464 within 90 days. Paying more than EUR 318.3 today would take the balance below the EUR 900 minimum.
