request_id,user_id,request_date,requested_amount,amount_safe_to_pay,earliest_date_for_full_payment,safe_with_changes,earliest_with_changes,spending_candidates
request_59,user_59,2025-05-04,140600,140600,2025-05-04,140600,2025-05-04,stop:event_5473|stop:event_5471
request_60,user_60,2026-01-06,199.89,199.3,2026-01-14,199.89,2026-01-06,stop:event_5575|stop:event_5574
request_61,user_61,2024-03-03,29062,29062,2024-03-03,29062,2024-03-03,stop:event_5683
request_62,user_62,2025-08-05,404.23,404.23,2025-08-05,404.23,2025-08-05,reduce_to:event_5750:21.00|stop:event_5749
request_63,user_63,2026-07-07,343900,58551.77,2026-09-13,68080.76,2026-09-13,stop:event_5827|reduce_to:event_5828:3184
request_64,user_64,2024-06-04,63700,0,,0,,reduce_to:event_5951:950|reduce_to:event_5949:530
request_65,user_65,2025-11-06,54340,8359.38,,8781.75,2026-01-13,reduce_to:event_6074:370
request_66,user_66,2026-04-03,22200,22200,2026-04-03,22200,2026-04-03,none
request_67,user_67,2024-09-05,2094.00,578.52,2024-10-14,599.02,2024-10-14,reduce_to:event_6224:35.00|reduce_to:event_6223:20.50
request_68,user_68,2025-02-07,2091.6,1621.82,2025-02-23,1664.6,2025-02-23,reduce_to:event_6331:24.80|stop:event_6330
request_69,user_69,2026-01-04,529.1,529.1,2026-01-04,529.1,2026-01-04,reduce_to:event_6407:16.40|stop:event_6405
request_70,user_70,2024-12-06,243900,59952.21,2025-01-16,61892.21,2025-01-16,stop:event_6498
request_71,user_71,2025-05-03,21451000,2158178.58,2025-07-17,2423228.58,2025-07-17,stop:event_6570|stop:event_6569
request_72,user_72,2026-07-05,11330,0,,0,,stop:event_6682
request_73,user_73,2023-01-20,71400,71400,2023-01-20,71400,2023-01-20,reduce_to:event_6789:1425|stop:event_6790
request_74,user_74,2025-08-04,5010,5010,2025-08-04,5010,2025-08-04,stop:event_6893|stop:event_6892
request_75,user_75,2026-04-06,28270,28270,2026-04-06,28270,2026-04-06,stop:event_6960|reduce_to:event_6961:420
request_76,user_76,2024-06-03,4455.6,1083.03,,1205.03,2024-08-13,stop:event_7036|stop:event_7035|reduce_to:event_7037:35.00
request_77,user_77,2025-11-05,60700,60700,2025-11-05,60700,2025-11-05,stop:event_7143
request_78,user_78,2025-10-02,50200,50200,2025-10-02,50200,2025-10-02,reduce_to:event_7225:1480|stop:event_7224
request_79,user_79,2024-09-04,2151.6,856.13,2024-11-13,900.13,2024-10-14,stop:event_7345|stop:event_7344
request_80,user_80,2025-02-06,217500,125410,,127755,,stop:event_7466|stop:event_7467
request_81,user_81,2026-07-03,2076.00,2076.00,2026-07-03,2076.00,2026-07-03,stop:event_7569
request_82,user_82,2024-12-05,1405.2,341.08,,341.08,,none
request_83,user_83,2025-05-07,156200,0,,0,,stop:event_7777|reduce_to:event_7776:545
request_84,user_84,2026-04-04,95400,38708.45,2026-04-14,41503.45,2026-04-14,reduce_to:event_7941:2260|stop:event_7857|stop:event_7856
request_85,user_85,2024-03-06,19304000,1257097.03,,1699086.12,,stop:event_7976|reduce_to:event_7977:148200|stop:event_7975
request_86,user_86,2025-08-03,46300,46300,2025-08-03,46300,2025-08-03,reduce_to:event_8084:2360|stop:event_8083
request_87,user_87,2026-01-05,487900,0,,0,,reduce_to:event_8162:4796
request_88,user_88,2024-06-07,26092,11959.79,2024-06-14,12235.89,2024-06-14,stop:event_8268
request_89,user_89,2025-11-04,13756000,10856737.56,2025-11-15,11668339.18,2025-11-15,reduce_to:event_8337:266760|stop:event_8335|stop:event_8336
request_90,user_90,2026-07-06,2560,2560,2026-07-06,2560,2026-07-06,reduce_to:event_8439:235|reduce_to:event_8438:194|stop:event_8437
request_91,user_91,2024-09-03,1927.2,723.64,2024-10-14,808.55,2024-09-14,reduce_to:event_8511:43.20|stop:event_8510
request_92,user_92,2025-02-05,34034,34034,2025-02-05,34034,2025-02-05,reduce_to:event_8620:559|stop:event_8621
request_93,user_93,2026-04-07,1729.2,1729.2,2026-04-07,1729.2,2026-04-07,stop:event_8691|stop:event_8690
request_94,user_94,2024-12-04,572.00,572.00,2024-12-04,572.00,2024-12-04,stop:event_8765|stop:event_8764
request_95,user_95,2025-05-06,553000,35779.27,,41124.01,,reduce_to:event_8843:3620
request_96,user_96,2026-01-03,90200,81155.77,,83480.77,,stop:event_8914
request_97,user_97,2024-03-05,23496,2910.52,2024-04-17,3129.42,2024-04-17,stop:event_9006
request_98,user_98,2025-08-07,27148,13089.03,2025-08-14,13965.73,2025-08-14,stop:event_9077|reduce_to:event_9079:620|stop:event_9076
request_99,user_99,2026-07-04,18062,18062,2026-07-04,18062,2026-07-04,stop:event_9188
request_100,user_100,2024-06-06,37114,29490.98,2024-06-15,30746.08,2024-06-15,stop:event_9267|stop:event_9268
request_101,user_101,2025-11-03,143500,143500,2025-11-03,143500,2025-11-03,reduce_to:event_9377:2660|stop:event_9378
request_102,user_102,2026-04-05,1716.00,1716.00,2026-04-05,1716.00,2026-04-05,reduce_to:event_9457:24.00|stop:event_9456|stop:event_9455
request_103,user_103,2024-09-07,368300,21711.66,,23781.66,,reduce_to:event_9530:3110|reduce_to:event_9529:2070|stop:event_9528
request_104,user_104,2025-02-04,17204,17204,2025-02-04,17204,2025-02-04,stop:event_9639
request_105,user_105,2026-06-08,53500,53500,2026-06-08,53500,2026-06-08,reduce_to:event_9720:1632|reduce_to:event_9721:1720
request_106,user_106,2024-12-03,2207.7,538.44,2025-01-16,538.44,2025-01-16,none
request_107,user_107,2025-05-05,2534.4,0.00,,0.00,,stop:event_9895|stop:event_9894
request_108,user_108,2026-07-07,55308,4690.55,,5111.85,,reduce_to:event_9994:421
request_109,user_109,2024-03-04,1863.4,881.62,2024-03-15,954.62,2024-03-15,stop:event_10081|stop:event_10080
request_110,user_110,2025-08-06,22352,22352,2025-08-06,22352,2025-08-06,stop:event_10198|reduce_to:event_10199:194|stop:event_10197
request_111,user_111,2026-04-03,16625000,16625000,2026-04-03,16625000,2026-04-03,stop:event_10264
request_112,user_112,2024-06-05,271.7,0.00,,0.00,,stop:event_10333|stop:event_10334
request_113,user_113,2026-09-04,36500,36500,2026-09-04,36500,2026-09-04,reduce_to:event_10438:1565|reduce_to:event_10440:1490
request_114,user_114,2026-01-04,65300,65300,2026-01-04,65300,2026-01-04,stop:event_10559|reduce_to:event_10561:1890|stop:event_10558
request_115,user_115,2024-09-06,80500,16371.71,2024-10-14,16946.71,2024-10-14,stop:event_10665
request_116,user_116,2025-02-03,241200,26598.79,2025-04-15,27718.79,2025-04-15,stop:event_10734
request_117,user_117,2026-07-05,880.00,880.00,2026-07-05,880.00,2026-07-05,stop:event_10833
request_118,user_118,2024-12-07,738.1,474.29,,610.76,,reduce_to:event_10914:14.00|stop:event_10912
request_119,user_119,2025-05-04,203500,0,,0,,reduce_to:event_11016:2655
request_120,user_120,2026-04-06,7714000,7714000,2026-04-06,7714000,2026-04-06,stop:event_11086
request_121,user_121,2024-03-03,633.6,633.6,2024-03-03,633.6,2024-03-03,stop:event_11163|reduce_to:event_11164:9.50|reduce_to:event_11165:8.00
request_122,user_122,2025-08-05,20558000,20558000,2025-08-05,20558000,2025-08-05,stop:event_11268|stop:event_11267
request_123,user_123,2026-01-07,4076000,4076000,2026-01-07,4076000,2026-01-07,none
request_124,user_124,2024-06-04,3104.2,1476.92,2024-07-14,1510.92,2024-07-14,stop:event_11448
request_125,user_125,2025-11-06,6468,6468,2025-11-06,6468,2025-11-06,stop:event_11519
request_126,user_126,2026-07-03,159600,49232.37,,59414.4,,reduce_to:event_11638:1784|stop:event_11636
request_127,user_127,2024-09-05,23980,0,,0,,stop:event_11706|stop:event_11707
request_128,user_128,2025-02-07,25168,25168,2025-02-07,25168,2025-02-07,reduce_to:event_11812:1058|stop:event_11813
request_129,user_129,2026-04-04,2668.8,146.56,,176.56,,stop:event_11885|stop:event_11884
request_130,user_130,2024-12-06,1978.8,657.54,2025-01-16,717.54,2024-12-16,stop:event_11958|stop:event_11957
request_131,user_131,2025-05-03,1855.2,1319.97,2025-05-23,1353.26,2025-05-23,reduce_to:event_12065:21.20
request_132,user_132,2026-01-05,379.86,379.86,2026-01-05,379.86,2026-01-05,reduce_to:event_12142:26.00
request_133,user_133,2024-03-07,15770000,15770000,2024-03-07,15770000,2024-03-07,none
request_134,user_134,2025-08-04,21831000,7210010.38,2025-09-13,7694510.38,2025-09-13,stop:event_12314|stop:event_12315
request_135,user_135,2026-07-06,304.8,304.8,2026-07-06,304.8,2026-07-06,stop:event_12413
request_136,user_136,2024-06-03,560.4,560.4,2024-06-03,560.4,2024-06-03,reduce_to:event_12498:27.20
request_137,user_137,2025-11-05,80100,35996.94,2025-12-14,42250.3,2025-11-14,stop:event_12572|reduce_to:event_12574:2068
request_138,user_138,2026-04-07,1256.94,1117.9,2026-04-14,1209.9,2026-04-14,stop:event_12669|reduce_to:event_12708:45.20|stop:event_12668
request_139,user_139,2024-09-04,2316.00,2014.67,2024-09-15,2038.67,2024-09-15,stop:event_12741
request_140,user_140,2025-02-06,62832,0,,0,,none
request_141,user_141,2026-01-03,171600,31906.26,2026-03-15,35611.26,2026-03-15,stop:event_12948|stop:event_12947
request_142,user_142,2024-12-05,1263.6,1263.6,2024-12-05,1263.6,2024-12-05,reduce_to:event_13068:27.60
request_143,user_143,2025-05-07,12584,4455.58,2025-06-16,4611.78,2025-06-16,stop:event_13140
request_144,user_144,2026-07-04,233.34,0.00,,0.00,,stop:event_13240|stop:event_13239
request_145,user_145,2024-03-06,217400,34344.31,,45609.31,,reduce_to:event_13341:2920|stop:event_13342
request_146,user_146,2025-08-03,449400,22860.85,,23385.85,,stop:event_13450
request_147,user_147,2026-04-05,1129.7,0.00,,0.00,,reduce_to:event_13522:29.20|stop:event_13521|stop:event_13520
request_148,user_148,2024-06-07,22242,10456.18,2024-06-14,12275.78,2024-06-14,stop:event_13593|reduce_to:event_13594:576|stop:event_13592
request_149,user_149,2025-11-04,36652,27578.85,2025-11-15,27945.15,2025-11-15,reduce_to:event_13747:1014|stop:event_13702
request_150,user_150,2026-01-06,496.1,401.8,2026-01-14,453.53,2026-01-14,stop:event_13786|reduce_to:event_13787:16.00|stop:event_13785
request_151,user_151,2024-09-03,26999000,26999000,2024-09-03,26999000,2024-09-03,none
request_152,user_152,2025-02-05,13882,13185.27,2025-02-14,13463.57,2025-02-14,stop:event_13958|stop:event_13957
request_153,user_153,2026-07-07,2830.8,258.6,,306.6,2026-09-13,stop:event_14064|stop:event_14063
request_154,user_154,2024-12-04,1625.8,1084.23,,1195.71,,reduce_to:event_14186:27.20
request_155,user_155,2025-05-06,112500,66491.33,,67376.33,,stop:event_14289
request_156,user_156,2026-04-03,43076,10652.82,2026-05-14,11055.42,2026-05-14,reduce_to:event_14398:397|reduce_to:event_14359:403
request_157,user_157,2024-03-05,23503000,7018567.15,2024-04-17,7582027.17,2024-04-17,reduce_to:event_14433:368600|reduce_to:event_14434:197600
request_158,user_158,2025-08-07,242600,242600,2025-08-07,242600,2025-08-07,reduce_to:event_14534:3280
request_159,user_159,2026-01-04,13398,13398,2026-01-04,13398,2026-01-04,stop:event_14619
request_160,user_160,2024-06-06,1246.3,643.61,2024-06-14,643.61,2024-06-14,none
request_161,user_161,2025-11-03,21204000,0,,0,,stop:event_14774|stop:event_14775
request_162,user_162,2026-07-05,83923000,4388137.84,,5170937.84,,stop:event_14872
request_163,user_163,2024-09-07,19304000,10954661.43,,11581661.43,,stop:event_14953
request_164,user_164,2025-02-04,27018000,27018000,2025-02-04,27018000,2025-02-04,reduce_to:event_15063:415150|stop:event_15064
request_165,user_165,2026-04-06,80600,80600,2026-04-06,80600,2026-04-06,stop:event_15135|reduce_to:event_15136:1048|stop:event_15134
request_166,user_166,2024-12-03,2907.6,2907.6,2024-12-03,2907.6,2024-12-03,reduce_to:event_15209:45.20|reduce_to:event_15208:29.50
request_167,user_167,2025-05-05,43802,43802,2025-05-05,43802,2025-05-05,reduce_to:event_15286:913|stop:event_15285
request_168,user_168,2026-01-07,49380,43454.63,2026-01-14,49380,2026-01-07,reduce_to:event_15366:2728|reduce_to:event_15367:2475|stop:event_15364
request_169,user_169,2024-03-04,41976,41976,2024-03-04,41976,2024-03-04,stop:event_15488
request_170,user_170,2025-08-06,36936000,34275921.57,2025-08-14,35159421.57,2025-08-14,stop:event_15605|stop:event_15604
request_171,user_171,2026-07-03,1878.8,106.11,,123.11,,stop:event_15701
request_172,user_172,2024-06-05,10200,10200,2024-06-05,10200,2024-06-05,reduce_to:event_15785:322|stop:event_15784
request_173,user_173,2025-11-07,113000,74343.33,2025-11-14,76491.59,2025-11-14,reduce_to:event_15864:1272
request_174,user_174,2026-04-04,1146.2,1146.2,2026-04-04,1146.2,2026-04-04,reduce_to:event_15976:16.80|stop:event_15975|stop:event_15974
request_175,user_175,2024-09-06,2346.3,2346.3,2024-09-06,2346.3,2024-09-06,reduce_to:event_16047:21.50|stop:event_16045
request_176,user_176,2025-02-03,1239.7,458.92,,477.24,,reduce_to:event_16157:11.60
request_177,user_177,2026-01-05,1017.6,1017.6,2026-01-05,1017.6,2026-01-05,stop:event_16235|reduce_to:event_16236:34.40|reduce_to:event_16237:15.50
request_178,user_178,2024-12-07,2938.1,2938.1,2024-12-07,2938.1,2024-12-07,reduce_to:event_16352:46.40
request_179,user_179,2025-05-04,41648000,14385647.03,2025-06-16,14385647.03,2025-06-16,none
request_180,user_180,2026-07-06,66500,0,,0,,none
request_181,user_181,2024-03-03,5059.2,550.26,2024-05-18,620.26,2024-05-18,stop:event_16621|stop:event_16622
request_182,user_182,2025-08-05,65714,65714,2025-08-05,65714,2025-08-05,reduce_to:event_16733:1029|stop:event_16734
request_183,user_183,2026-04-07,26866000,25499437.33,2026-04-14,26564596.35,2026-04-14,reduce_to:event_16815:365560|stop:event_16814|reduce_to:event_16816:342000
request_184,user_184,2024-06-04,251900,21348.09,,25438.09,,stop:event_16935|stop:event_16934
request_185,user_185,2025-11-06,1257.3,583.02,2025-11-14,620.02,2025-11-14,stop:event_17052|stop:event_17053
request_186,user_186,2026-01-03,26554,17474.67,2026-01-14,19386.22,2026-01-14,reduce_to:event_17160:660|stop:event_17159|stop:event_17158
request_187,user_187,2024-09-05,187500,44872.87,2024-10-14,46817.87,2024-10-14,stop:event_17265
request_188,user_188,2025-02-07,2464.00,318.3,,354.3,,stop:event_17332|stop:event_17331
request_189,user_189,2026-07-04,488.4,488.4,2026-07-04,488.4,2026-07-04,stop:event_17431
request_190,user_190,2024-12-06,2557.5,880.43,2025-01-16,880.43,2025-01-16,none
request_191,user_191,2025-05-03,664.4,664.4,2025-05-03,664.4,2025-05-03,stop:event_17620
request_192,user_192,2026-04-05,2046.00,296.34,,342.34,,stop:event_17696|stop:event_17695
request_193,user_193,2024-03-07,1212.2,209.97,2024-03-17,240.97,2024-03-17,stop:event_17768|stop:event_17767
request_194,user_194,2025-08-04,132800,46031.94,2025-09-23,50041.52,2025-09-23,reduce_to:event_17877:1796|stop:event_17876
request_195,user_195,2026-01-06,1170.4,1094.34,2026-01-14,1106.34,2026-01-14,reduce_to:event_17957:13.00|reduce_to:event_17955:12.00
request_196,user_196,2024-06-03,762.3,762.3,2024-06-03,762.3,2024-06-03,stop:event_18062
request_197,user_197,2025-11-05,50939000,0,,0,,stop:event_18126|stop:event_18125
request_198,user_198,2026-07-07,185800,185800,2026-07-07,185800,2026-07-07,stop:event_18222
request_199,user_199,2024-09-04,23674000,23674000,2024-09-04,23674000,2024-09-04,reduce_to:event_18319:753350|stop:event_18316
request_200,user_200,2025-02-06,21717000,21717000,2025-02-06,21717000,2025-02-06,reduce_to:event_18422:394250|stop:event_18423
request_201,user_201,2026-04-03,23997000,23997000,2026-04-03,23997000,2026-04-03,stop:event_18493|stop:event_18492
request_202,user_202,2024-12-05,123900,123900,2024-12-05,123900,2024-12-05,stop:event_18571
request_203,user_203,2025-05-07,1442.1,1442.1,2025-05-07,1442.1,2025-05-07,stop:event_18662|reduce_to:event_18663:35.00|stop:event_18660
request_204,user_204,2026-01-04,588.74,0.00,,0.00,,stop:event_18761
request_205,user_205,2024-03-06,10621000,10621000,2024-03-06,10621000,2024-03-06,stop:event_18861|reduce_to:event_18863:236360|stop:event_18862
request_206,user_206,2025-08-03,1404.7,1404.7,2025-08-03,1404.7,2025-08-03,reduce_to:event_18965:19.50|stop:event_18964
request_207,user_207,2026-07-05,11830,6737.41,2026-07-15,7258.81,2026-07-15,stop:event_19033
request_208,user_208,2024-06-07,4413000,4413000,2024-06-07,4413000,2024-06-07,none
request_209,user_209,2025-11-04,56914,2887.09,,3205.66,,reduce_to:event_19222:242|stop:event_19223
request_210,user_210,2026-04-06,1360.02,1105.92,2026-04-14,1210.92,2026-04-14,stop:event_19294|stop:event_19293
request_211,user_211,2024-09-03,1788.6,546.7,2024-10-14,546.7,2024-10-14,reduce_to:event_19369:27.50
request_212,user_212,2025-02-05,71934000,10035793.79,,11156804.94,,reduce_to:event_19473:603440|stop:event_19472
request_213,user_213,2026-01-07,3362.4,3362.4,2026-01-07,3362.4,2026-01-07,reduce_to:event_19550:34.80|stop:event_19549|stop:event_19548
request_214,user_214,2024-12-04,69750,69750,2024-12-04,69750,2024-12-04,reduce_to:event_19671:4220|stop:event_19670
request_215,user_215,2025-05-06,29986,29986,2025-05-06,29986,2025-05-06,stop:event_19801|reduce_to:event_19803:391|reduce_to:event_19802:272
request_216,user_216,2026-07-03,3332.4,699.29,2026-08-14,752.29,2026-08-14,stop:event_19898
request_217,user_217,2024-03-05,37180,23028.54,2024-03-15,24790.31,2024-03-15,reduce_to:event_19979:561|stop:event_19977|stop:event_19978
request_218,user_218,2025-08-07,61142000,28753921.45,2025-08-15,28753921.45,2025-08-15,none
request_219,user_219,2026-04-04,1673.1,0.00,,0.00,,reduce_to:event_20157:26.50
request_220,user_220,2024-06-06,3118.5,215.79,,265.82,2024-08-13,stop:event_20228|reduce_to:event_20229:18.50
request_221,user_221,2025-11-03,109800,109800,2025-11-03,109800,2025-11-03,reduce_to:event_20337:1620|stop:event_20336
request_222,user_222,2026-01-05,34078,34078,2026-01-05,34078,2026-01-05,stop:event_20414
request_223,user_223,2024-09-07,898.7,898.7,2024-09-07,898.7,2024-09-07,stop:event_20478
request_224,user_224,2025-02-04,10327000,10327000,2025-02-04,10327000,2025-02-04,stop:event_20547|stop:event_20546
request_225,user_225,2026-07-06,22059000,12021650.36,2026-07-15,12437750.36,2026-07-15,reduce_to:event_20649:314450|stop:event_20650
request_226,user_226,2024-12-03,157000,147804.83,2025-02-16,157000,2024-12-03,reduce_to:event_20754:3552|reduce_to:event_20752:3700|stop:event_20753
request_227,user_227,2025-05-05,259700,12595.85,,12595.85,,reduce_to:event_20859:1790
request_228,user_228,2026-04-07,63327000,0,,0,,stop:event_20932|stop:event_20931
request_229,user_229,2024-03-04,1526.8,547.14,2024-04-17,573.14,2024-04-17,stop:event_21032|stop:event_21031
request_230,user_230,2025-08-06,3537.6,755.3,,830.3,,stop:event_21145
request_231,user_231,2026-01-03,35706,35706,2026-01-03,35706,2026-01-03,stop:event_21224|stop:event_21223
request_232,user_232,2024-06-05,1970.1,0.00,,0.00,,stop:event_21341
request_233,user_233,2025-11-07,6241000,0,,0,,stop:event_21439|stop:event_21438
request_234,user_234,2026-07-04,1213.3,273.01,2026-08-14,292.01,2026-08-14,stop:event_21536
request_235,user_235,2024-09-06,967.2,967.2,2024-09-06,967.2,2024-09-06,stop:event_21620|reduce_to:event_21621:16.00|reduce_to:event_21622:9.00
request_236,user_236,2025-02-03,52383000,6842131.84,2025-04-15,6938081.84,2025-04-15,stop:event_21742
request_237,user_237,2026-04-05,23826000,23826000,2026-04-05,23826000,2026-04-05,reduce_to:event_21813:548720|reduce_to:event_21812:382850
request_238,user_238,2024-12-07,663.6,174.4,,285.4,,stop:event_21888|stop:event_21887
request_239,user_239,2025-05-04,642.00,381.68,,424.7,,reduce_to:event_21992:9.20
request_240,user_240,2026-01-06,101200,0,,0,,stop:event_22063|stop:event_22062
request_241,user_241,2024-03-03,21052000,21052000,2024-03-03,21052000,2024-03-03,stop:event_22154
request_242,user_242,2025-08-05,1966.8,0.00,,0.00,,stop:event_22218|stop:event_22217
request_243,user_243,2026-07-07,17468,17468,2026-07-07,17468,2026-07-07,stop:event_22314
request_244,user_244,2024-06-04,49918,44946.14,,46549.94,,stop:event_22395
request_245,user_245,2025-11-06,128500,46929.02,2025-12-14,46929.02,2025-12-14,none
request_246,user_246,2026-04-03,64086,64086,2026-04-03,64086,2026-04-03,reduce_to:event_22614:927|reduce_to:event_22613:609
request_247,user_247,2024-09-05,1059.3,1059.3,2024-09-05,1059.3,2024-09-05,stop:event_22685|stop:event_22683
request_248,user_248,2025-02-07,1965.6,1020.83,,1057.73,,reduce_to:event_22795:15.20|stop:event_22794
request_249,user_249,2026-01-04,643.2,0.00,,0.00,,stop:event_22874|stop:event_22873
request_250,user_250,2024-12-06,124278,17404.9,,17765.7,,stop:event_22981
request_251,user_251,2025-05-03,1513.6,1455.34,,1513.6,2025-05-03,stop:event_23062|stop:event_23061
request_252,user_252,2026-07-05,28082000,5655701.89,2026-08-14,6028101.89,2026-08-14,stop:event_23156
request_253,user_253,2024-03-07,2840.2,1627.16,2024-03-17,1643.16,2024-03-17,stop:event_23237
request_254,user_254,2025-08-04,3535.2,1051.25,2025-09-13,1072.25,2025-09-13,reduce_to:event_23347:53.00|stop:event_23348
request_255,user_255,2026-04-06,3345000,3345000,2026-04-06,3345000,2026-04-06,none
request_256,user_256,2024-06-03,218700,0,,0,,stop:event_23486
request_257,user_257,2025-11-05,1352.4,644.17,2025-11-15,717.68,2025-11-15,reduce_to:event_23593:39.00|reduce_to:event_23591:24.00|stop:event_23590
request_258,user_258,2026-01-07,1113.6,1113.6,2026-01-07,1113.6,2026-01-07,stop:event_23715
request_259,user_259,2024-09-04,935.00,482.9,2024-10-14,489.9,2024-10-14,stop:event_23823
request_260,user_260,2025-02-06,52079000,10788991.75,2025-04-15,11842510,2025-04-15,reduce_to:event_23895:478040|reduce_to:event_23896:325850
request_261,user_261,2026-07-03,1830.4,1830.4,2026-07-03,1830.4,2026-07-03,stop:event_24010
request_262,user_262,2024-12-05,9236000,0,,0,,reduce_to:event_24096:548720|reduce_to:event_24094:541500|stop:event_24095
request_263,user_263,2025-05-07,51546,9268.29,2025-07-17,10934.34,2025-07-17,stop:event_24200|reduce_to:event_24201:506|stop:event_24199
request_264,user_264,2026-04-04,111300,26863.74,2026-05-14,31829.34,2026-05-14,reduce_to:event_24313:1504|stop:event_24312
request_265,user_265,2024-03-06,45970,45970,2024-03-06,45970,2024-03-06,stop:event_24385|stop:event_24384|stop:event_24383
request_266,user_266,2025-08-03,935.00,935.00,2025-08-03,935.00,2025-08-03,none
request_267,user_267,2026-01-05,1925.00,1844.04,2026-01-14,1896.04,2026-01-14,stop:event_24573
request_268,user_268,2024-06-07,2426.6,1134.52,2024-07-14,1148.52,2024-07-14,stop:event_24680
request_269,user_269,2025-11-04,15490,0,,0,,stop:event_24744
request_270,user_270,2026-07-06,3028.8,126.35,,195.35,,reduce_to:event_24845:23.00
request_271,user_271,2024-09-03,91300,9952.3,,25345.75,,reduce_to:event_24927:1616|stop:event_24925|stop:event_24926
request_272,user_272,2025-02-05,13585000,6676962.13,2025-02-14,6961923.52,2025-02-14,reduce_to:event_25030:216600|stop:event_25031
request_273,user_273,2026-04-07,15861000,10743745.89,2026-04-14,11887545.89,2026-04-14,stop:event_25103|stop:event_25102
request_274,user_274,2024-12-04,2713.7,2578.63,2024-12-16,2713.7,2024-12-04,reduce_to:event_25181:51.60|stop:event_25180|stop:event_25179
request_275,user_275,2025-05-06,15884000,15884000,2025-05-06,15884000,2025-05-06,reduce_to:event_25301:376200|stop:event_25300
